boot,cv,feature,weight,std
boot8,cv3,gap_mean,-3.52488624458458e-05,6.0977675111306576e-05
boot8,cv3,singletons,-4.174295471726403e-05,8.222638094542823e-05
boot8,cv3,gap_var_pos2,-4.753354383733338e-05,9.439283431627004e-05
boot8,cv3,inter_len_mean,-6.343967873872244e-05,0.0001864519021589577
boot8,cv3,coeffVar_len,-8.511276046214377e-05,0.00014999923747732288
boot8,cv3,gap_mean_pos2,-9.143505013215037e-05,9.617429610040123e-05
boot8,cv3,saturation,-9.257124784258622e-05,0.0002250180928487344
boot8,cv3,seq_len_nogap,-0.00011981671273464819,7.783387640040605e-05
boot8,cv3,ter_len_mean,-0.000143250516496852,0.00012025300441939333
boot8,cv4,vars,0.0002094997785428443,9.885027141876735e-05
boot8,cv4,gc_var_pos1,0.0001797885229412023,9.83437477328648e-05
boot8,cv4,gc_var_pos3,0.00016811181660536745,9.274729942581987e-05
boot8,cv4,ter_len_mean,0.00016279540404885536,0.00010318931164054232
boot8,cv4,pi_std,0.00012332993370670634,6.526947290071726e-05
boot8,cv4,LB_std,0.00012109099889548558,6.012328510112461e-05
boot8,cv4,nheaders,0.00010109255408587092,0.00011040464078733645
boot8,cv4,gc_mean_pos3,9.893498835383082e-05,0.00013800368026738497
boot8,cv4,gc_mean,8.232289805285828e-05,6.051907546217678e-05
boot8,cv4,seq_len_nogap,7.27912231778062e-05,9.621961491269865e-05
boot8,cv4,gc_var,7.151845746144011e-05,8.785014388379276e-05
boot8,cv4,invariants,6.278724879326846e-05,7.778704543615077e-05
boot8,cv4,inter_len_var,6.067067861581538e-05,8.98872469743679e-05
boot8,cv4,seq_len,5.887875102788764e-05,9.429324904522646e-05
boot8,cv4,gap_var_pos3,5.348656845634181e-05,5.9106414970646475e-05
boot8,cv4,saturation,5.1167970039600884e-05,6.360234654778615e-05
boot8,cv4,ter_len_var,5.101197603634533e-05,5.9665934303881215e-05
boot8,cv4,total_tree_len,5.0772477098849354e-05,5.4478539303201105e-05
boot8,cv4,gap_var,5.067122580055678e-05,4.3377744644228394e-05
boot8,cv4,nogap_prop,4.9024039192979845e-05,6.719046168688693e-05
boot8,cv4,gc_var_pos2,4.866798332391148e-05,7.458296872135411e-05
boot8,cv4,treeness_o_rcv,3.0693506489072734e-05,6.170837137435473e-05
boot8,cv4,gap_var_pos2,2.4221347274755584e-05,8.579479081360979e-05
boot8,cv4,treeness,2.122750001321394e-05,8.23710993874788e-05
boot8,cv4,patterns,1.7493528932406856e-05,4.593482919486119e-05
boot8,cv4,gc_mean_pos1,1.4920113419484572e-05,5.8304595274724644e-05
boot8,cv4,gap_mean,1.2244981133849448e-05,4.084421410580064e-05
boot8,cv4,pis,1.0547889710549874e-05,4.820284732809195e-05
boot8,cv4,gap_mean_pos1,9.573249393928922e-06,6.149737668077033e-05
boot8,cv4,gap_var_pos1,5.309727280021215e-06,0.00010358667402042989
boot8,cv4,coeffVar_len,-2.460846489044238e-06,7.565190997931462e-05
boot8,cv4,gap_mean_pos3,-1.4133794718522857e-05,5.935247314622124e-05
boot8,cv4,inter_len_mean,-1.96022833030908e-05,5.945621076328714e-05
boot8,cv4,entropy,-2.5161350611815485e-05,5.841496494506467e-05
boot8,cv4,singletons,-2.528573837005055e-05,4.226971857320313e-05
boot8,cv4,supp_mean,-2.6901294833455158e-05,4.5862837494428986e-05
boot8,cv4,pi_mean,-3.0404102988405014e-05,3.475210584954815e-05
boot8,cv4,gc_mean_pos2,-3.155404767513206e-05,6.623907238921974e-05
boot8,cv4,gap_mean_pos2,-3.651173197165708e-05,5.7314482967512724e-05
boot8,cv4,rcv,-4.9758888467419244e-05,6.115493636763534e-05
boot9,cv1,gc_var_pos2,0.00039104323648246094,0.0002483357150613459
boot9,cv1,treeness,0.0003824804183328377,0.00023592922276754707
boot9,cv1,nogap_prop,0.0002564717741231048,0.000262112019490998
boot9,cv1,gap_mean_pos2,0.000222912370558559,0.0003228791394347806
boot9,cv1,pi_std,0.00020461516539817801,0.00025130812725361005
boot9,cv1,gap_mean,0.00019336656023791337,0.00025967337435970966
boot9,cv1,gc_var,0.0001910486393917278,0.00016619917340067716
boot9,cv1,total_tree_len,0.00017174921368916213,0.00013551265422432056
boot9,cv1,invariants,0.00014939611590535036,0.00011908753701273508
boot9,cv1,gc_mean,0.00014447262256448017,0.0003301192214553362
boot9,cv1,treeness_o_rcv,0.00013409744714586682,0.00010781289999468834
boot9,cv1,gap_var_pos2,0.00012748019042818263,0.0002342902799494783
boot9,cv1,saturation,0.00012710494884621843,0.00016995726363366813
boot9,cv1,coeffVar_len,0.00011220047290171876,0.00015443289042814547
boot9,cv1,gc_mean_pos3,0.00010139040737907876,0.00021144487336859191
boot9,cv1,gap_mean_pos1,9.256621288627302e-05,0.0001456063516112841
boot9,cv1,seq_len_nogap,7.908838786236154e-05,0.0001583200386466877
boot9,cv1,gc_var_pos3,7.815074727302397e-05,0.0003123819844305859
boot9,cv1,gc_mean_pos1,7.748402820480247e-05,0.00016290998032699225
boot9,cv1,vars,6.348005575578678e-05,0.00010104726655185216
boot9,cv1,gap_var_pos1,5.76200094987888e-05,0.00016089361397740622
boot9,cv1,ter_len_var,3.1191436469760955e-05,0.0001752745409044862
boot9,cv1,singletons,1.8451776866267242e-05,6.837379101244239e-05
boot9,cv1,gc_mean_pos2,8.093898904455998e-06,0.0001754378752668093
boot9,cv1,pi_mean,3.3050956033692235e-06,0.00013527032181436246
boot9,cv1,seq_len,-7.663258465078968e-06,0.00010428301317370261
boot9,cv1,gap_var,-1.07786587458953e-05,0.00023073937549121672
boot9,cv1,supp_mean,-1.4430733335713195e-05,0.00013976349015890066
boot9,cv1,gap_mean_pos3,-2.335546799203933e-05,0.00016765190068576886
boot9,cv1,inter_len_mean,-2.483964311648032e-05,0.000302206783260708
boot9,cv1,LB_std,-2.9745557193185946e-05,0.00021175493200098193
boot9,cv1,ter_len_mean,-4.398626490293649e-05,0.0001120178854190024
boot9,cv1,gc_var_pos1,-6.577557545464318e-05,0.00013750609080412748
boot9,cv1,inter_len_var,-8.343105349976925e-05,0.00011769257500293879
boot9,cv1,nheaders,-9.56610577145843e-05,0.0001266137684366028
boot9,cv1,rcv,-0.00010332745088651889,0.00026371385263531766
boot9,cv1,patterns,-0.00010665031801813108,0.0001443475401183925
