boot,cv,feature,weight,std
boot0,cv1,treeness_o_rcv,-0.0001613272055503491,0.0002816197209922034
boot0,cv1,gap_mean_pos1,-0.00019842938739754874,0.0001670594620519037
boot0,cv1,gap_mean_pos2,-0.0005403972873044232,0.0004682098281555601
boot0,cv2,nheaders,0.0015408693187948734,0.0005708983288007904
boot0,cv2,invariants,0.000914070509714126,0.0003608504233552711
boot0,cv2,rcv,0.0007388126546011856,0.0007810927252685344
boot0,cv2,saturation,0.0007359419274270021,0.00029704606845169096
boot0,cv2,gc_mean_pos1,0.0006370708310082006,0.00029583305486496566
boot0,cv2,gc_mean,0.0005988685256931656,0.0007485138465232828
boot0,cv2,gap_mean_pos2,0.0005886059053142711,0.00023277828847880925
boot0,cv2,treeness,0.0005570190350020355,0.0003184143338682004
boot0,cv2,seq_len,0.0004875730198596162,0.0003726027829863139
boot0,cv2,coeffVar_len,0.00047915901035961106,0.00032302914855637425
boot0,cv2,patterns,0.0004030803024292662,0.00019667882543325134
boot0,cv2,entropy,0.0003983952988773859,0.00039941503007517604
boot0,cv2,gap_var_pos3,0.0003974621087610114,0.0006576729738229581
boot0,cv2,gc_mean_pos2,0.00039108166140220876,0.0005045384174721529
boot0,cv2,total_tree_len,0.0003677626043931752,0.0008027742228288295
boot0,cv2,gap_var_pos1,0.0003508626692476656,0.000370743317023707
boot0,cv2,ter_len_mean,0.0003382740043396182,0.000411259158235278
boot0,cv2,LB_std,0.0003341052874570491,0.0005790613543693605
boot0,cv2,treeness_o_rcv,0.0002986821550225513,0.0004108065795769325
boot0,cv2,pis,0.00026955402555234374,0.0003177249539233402
boot0,cv2,gap_mean,0.000246755804068009,0.00047015597568794454
boot0,cv2,gc_mean_pos3,0.0002291078576524644,0.00044739297807328893
boot0,cv2,gc_var_pos3,0.0002119477237325501,0.0003323908892492476
boot0,cv2,gc_var,0.00020792397110719812,0.00018550525861562545
boot0,cv2,gc_var_pos1,0.00019677150554407288,0.00029322425168804044
boot0,cv2,singletons,0.00016571990696965703,0.00016047305060553298
boot0,cv2,gap_var_pos2,0.00011233934227060746,0.00026137578820863513
boot0,cv2,vars,9.717913801738697e-05,0.0007856280956160414
boot0,cv2,gap_var,8.532148083972748e-05,0.00031330772826876515
boot0,cv2,nogap_prop,7.692828121619366e-05,0.0003860227622904892
boot0,cv2,gap_mean_pos3,6.956277422569782e-05,0.0002258204270948863
boot0,cv2,inter_len_mean,6.3041471298701244e-06,0.00021402906466544912
boot0,cv2,supp_mean,7.082517967793578e-07,0.00024004388321835653
boot0,cv2,seq_len_nogap,-4.739593817895793e-05,0.00038311336095004213
boot0,cv2,inter_len_var,-7.372014460610047e-05,0.00012390829950467328
boot0,cv2,pi_std,-7.97749460301743e-05,0.0002193209533813728
boot0,cv2,ter_len_var,-8.7788717789542e-05,0.00011743670292468293
boot0,cv2,gap_mean_pos1,-0.00011970295117580132,0.0002483183862754992
boot0,cv2,pi_mean,-0.00015562578199369194,0.0002547418863013658
boot0,cv2,gc_var_pos2,-0.00041251299806207284,0.0003123676639893254
boot0,cv3,gc_mean_pos3,0.0016141237989001696,0.0006120543838941501
boot0,cv3,singletons,0.0014082627821030602,0.000824336117408498
boot0,cv3,inter_len_mean,0.0009727232442453889,0.000731520424319421
boot0,cv3,total_tree_len,0.0007935714333089096,0.00045212821970198224
boot0,cv3,treeness,0.0007437997971523213,0.0004150490505575076
boot0,cv3,gap_var_pos1,0.0007366142379437733,0.0008328577723593345
boot0,cv3,gc_mean_pos2,0.000636768719958039,0.00033892439675149526
boot0,cv3,entropy,0.000580854221340402,0.000496585909935994
boot0,cv3,supp_mean,0.00048527046562821626,0.0003428629520569947
boot0,cv3,pi_mean,0.00038071826535504116,0.0003950590168855245
